SHEET 4: COST MODEL (COGS + Operating Expenses)

Month,Hustler Count,SME Count,Business Count,Enterprise Count,Hustler COGS,SME COGS,Business COGS,Enterprise COGS,Variable COGS,Fixed Infra,Fixed Software,Fixed Personnel,Fixed Marketing,Fixed Admin,Total Fixed OpEx,Total Costs,Year
1,='2. Customer Mix'!I3,='2. Customer Mix'!J3,='2. Customer Mix'!K3,='2. Customer Mix'!L3,=B3*2.5,=C3*5,=D3*11.5,=E3*30.5,=SUM(F3:I3),$21,$50,$800,$250,$100,=SUM(K3:O3),=J3+P3,1
2,='2. Customer Mix'!I4,='2. Customer Mix'!J4,='2. Customer Mix'!K4,='2. Customer Mix'!L4,=B4*2.5,=C4*5,=D4*11.5,=E4*30.5,=SUM(F4:I4),$21,$50,$800,$250,$100,=SUM(K4:O4),=J4+P4,1
3,='2. Customer Mix'!I5,='2. Customer Mix'!J5,='2. Customer Mix'!K5,='2. Customer Mix'!L5,=B5*2.5,=C5*5,=D5*11.5,=E5*30.5,=SUM(F5:I5),$21,$50,$800,$250,$100,=SUM(K5:O5),=J5+P5,1
4,='2. Customer Mix'!I6,='2. Customer Mix'!J6,='2. Customer Mix'!K6,='2. Customer Mix'!L6,=B6*2.5,=C6*5,=D6*11.5,=E6*30.5,=SUM(F6:I6),$21,$50,$800,$250,$100,=SUM(K6:O6),=J6+P6,1
5,='2. Customer Mix'!I7,='2. Customer Mix'!J7,='2. Customer Mix'!K7,='2. Customer Mix'!L7,=B7*2.5,=C7*5,=D7*11.5,=E7*30.5,=SUM(F7:I7),$21,$50,$800,$250,$100,=SUM(K7:O7),=J7+P7,1
6,='2. Customer Mix'!I8,='2. Customer Mix'!J8,='2. Customer Mix'!K8,='2. Customer Mix'!L8,=B8*2.5,=C8*5,=D8*11.5,=E8*30.5,=SUM(F8:I8),$21,$50,$800,$250,$100,=SUM(K8:O8),=J8+P8,1
7,='2. Customer Mix'!I9,='2. Customer Mix'!J9,='2. Customer Mix'!K9,='2. Customer Mix'!L9,=B9*2.5,=C9*5,=D9*11.5,=E9*30.5,=SUM(F9:I9),$21,$50,$800,$250,$100,=SUM(K9:O9),=J9+P9,1
8,='2. Customer Mix'!I10,='2. Customer Mix'!J10,='2. Customer Mix'!K10,='2. Customer Mix'!L10,=B10*2.5,=C10*5,=D10*11.5,=E10*30.5,=SUM(F10:I10),$21,$50,$800,$250,$100,=SUM(K10:O10),=J10+P10,1
9,='2. Customer Mix'!I11,='2. Customer Mix'!J11,='2. Customer Mix'!K11,='2. Customer Mix'!L11,=B11*2.5,=C11*5,=D11*11.5,=E11*30.5,=SUM(F11:I11),$21,$50,$800,$250,$100,=SUM(K11:O11),=J11+P11,1
10,='2. Customer Mix'!I12,='2. Customer Mix'!J12,='2. Customer Mix'!K12,='2. Customer Mix'!L12,=B12*2.5,=C12*5,=D12*11.5,=E12*30.5,=SUM(F12:I12),$21,$50,$800,$250,$100,=SUM(K12:O12),=J12+P12,1
